week,state,avg_employment
2020-01-12,Alabama,0.9229
2020-01-19,Alabama,0.9276
2020-01-26,Alabama,0.9278
2020-02-02,Alabama,0.9377
2020-02-09,Alabama,0.9333
2020-02-16,Alabama,0.9339
2020-02-23,Alabama,0.9341
2020-03-01,Alabama,0.9388
2020-03-08,Alabama,0.9341
2020-03-15,Alabama,0.9452
2020-03-22,Alabama,0.9452
2020-03-29,Alabama,0.9385
2020-04-05,Alabama,0.9442
2020-04-12,Alabama,0.9436
2020-04-19,Alabama,0.9441
2020-04-26,Alabama,0.9402
2020-05-03,Alabama,0.9432
2020-05-10,Alabama,0.9473
2020-05-17,Alabama,0.9535
2020-05-24,Alabama,0.9474
2020-05-31,Alabama,0.947
2020-06-07,Alabama,0.9402
2020-06-14,Alabama,0.9403
2020-06-21,Alabama,0.9453
2020-06-28,Alabama,0.9438
2020-07-05,Alabama,0.9341
2020-07-12,Alabama,0.9334
2020-07-19,Alabama,0.9363
2020-07-26,Alabama,0.9356
2020-08-02,Alabama,0.9303
2020-08-09,Alabama,0.9301
2020-08-16,Alabama,0.9323
2020-08-23,Alabama,0.9277
2020-08-30,Alabama,0.9352
2020-09-06,Alabama,0.9353
2020-09-13,Alabama,0.931
2020-09-20,Alabama,0.9285
2020-09-27,Alabama,0.9308
2020-10-04,Alabama,0.9236
2020-10-11,Alabama,0.9223
2020-10-18,Alabama,0.9297
2020-10-25,Alabama,0.9262
2020-11-01,Alabama,0.9261
2020-11-08,Alabama,0.9279
2020-11-15,Alabama,0.9275
2020-11-22,Alabama,0.9317
2020-11-29,Alabama,0.9335
2020-12-06,Alabama,0.9401
2020-12-13,Alabama,0.9405
2020-12-20,Alabama,0.9405
2020-12-27,Alabama,0.938
2021-01-03,Alabama,0.9444
2021-01-10,Alabama,0.9421
2021-01-17,Alabama,0.9503
2021-01-24,Alabama,0.9469
2021-01-31,Alabama,0.9466
2021-02-07,Alabama,0.959
2021-02-14,Alabama,0.9532
2021-02-21,Alabama,0.9588
2021-02-28,Alabama,0.9575
2021-03-07,Alabama,0.9592
2021-03-14,Alabama,0.9625
2021-03-21,Alabama,0.9661
2021-03-28,Alabama,0.9659
2021-04-04,Alabama,0.9704
2021-04-11,Alabama,0.9673
2021-04-18,Alabama,0.9768
2021-04-25,Alabama,0.9643
2021-05-02,Alabama,0.9643
2021-05-09,Alabama,0.9657
2021-05-16,Alabama,0.962
2021-05-23,Alabama,0.9698
2021-05-30,Alabama,0.9698
2021-06-06,Alabama,0.9622
2021-06-13,Alabama,0.9609
2021-06-20,Alabama,0.9584
2021-06-27,Alabama,0.961
2021-07-04,Alabama,0.9587
2021-07-11,Alabama,0.9562
2021-07-18,Alabama,0.956
2021-07-25,Alabama,0.9591
2021-08-01,Alabama,0.9543
2021-08-08,Alabama,0.9519
2021-08-15,Alabama,0.9525
2021-08-22,Alabama,0.9561
2021-08-29,Alabama,0.9529
2021-09-05,Alabama,0.9465
2021-09-12,Alabama,0.9498
2021-09-19,Alabama,0.9475
2021-09-26,Alabama,0.9475
2021-10-03,Alabama,0.9509
2021-10-10,Alabama,0.9466
2021-10-17,Alabama,0.9399
2021-10-24,Alabama,0.9493
2021-10-31,Alabama,0.9474
2021-11-07,Alabama,0.9501
2021-11-14,Alabama,0.9527
2021-11-21,Alabama,0.9513
2021-11-28,Alabama,0.9528
2021-12-05,Alabama,0.9518
2021-12-12,Alabama,0.9554
2021-12-19,Alabama,0.9628
2021-12-26,Alabama,0.959
2022-01-02,Alabama,0.9617
2022-01-09,Alabama,0.9639
2022-01-16,Alabama,0.9645
2022-01-23,Alabama,0.9682
2022-01-30,Alabama,0.9669
2022-02-06,Alabama,0.9739
2022-02-13,Alabama,0.9763
2022-02-20,Alabama,0.9781
2022-02-27,Alabama,0.9763
2022-03-06,Alabama,0.9811
2022-03-13,Alabama,0.9819
2022-03-20,Alabama,0.9846
2022-03-27,Alabama,0.9839
2022-04-03,Alabama,0.9886
2022-04-10,Alabama,0.9832
2022-04-17,Alabama,0.9847
2022-04-24,Alabama,0.9898
2022-05-01,Alabama,0.9835
2022-05-08,Alabama,0.99
2022-05-15,Alabama,0.99
2022-05-22,Alabama,0.99
2022-05-29,Alabama,0.9848
2022-06-05,Alabama,0.9828
2022-06-12,Alabama,0.9815
2022-06-19,Alabama,0.9861
2022-06-26,Alabama,0.9889
2022-07-03,Alabama,0.9795
2022-07-10,Alabama,0.9773
2022-07-17,Alabama,0.9766
2022-07-24,Alabama,0.98
2022-07-31,Alabama,0.9748
2022-08-07,Alabama,0.9732
2022-08-14,Alabama,0.9692
2022-08-21,Alabama,0.9742
2022-08-28,Alabama,0.9723
2022-09-04,Alabama,0.9667
2022-09-11,Alabama,0.9656
2022-09-18,Alabama,0.9676
2022-09-25,Alabama,0.9707
2022-10-02,Alabama,0.9706
2022-10-09,Alabama,0.9695
2022-10-16,Alabama,0.9724
2022-10-23,Alabama,0.9763
2022-10-30,Alabama,0.9681
2022-11-06,Alabama,0.9708
2022-11-13,Alabama,0.9675
2022-11-20,Alabama,0.9758
2022-11-27,Alabama,0.9765
2022-12-04,Alabama,0.9757
2022-12-11,Alabama,0.9805
2022-12-18,Alabama,0.9827
2022-12-25,Alabama,0.9801
2023-01-01,Alabama,0.9896
2023-01-08,Alabama,0.988
2023-01-15,Alabama,0.9842
2023-01-22,Alabama,0.99
2023-01-29,Alabama,0.99
2023-02-05,Alabama,0.99
2023-02-12,Alabama,0.99
2023-02-19,Alabama,0.99
2023-02-26,Alabama,0.99
2023-03-05,Alabama,0.99
2023-03-12,Alabama,0.99
2023-03-19,Alabama,0.99
2023-03-26,Alabama,0.99
2023-04-02,Alabama,0.99
2023-04-09,Alabama,0.99
2023-04-16,Alabama,0.99
2023-04-23,Alabama,0.99
2023-04-30,Alabama,0.99
2023-05-07,Alabama,0.99
2023-05-14,Alabama,0.99
2023-05-21,Alabama,0.99
2023-05-28,Alabama,0.99
2023-06-04,Alabama,0.99
2023-06-11,Alabama,0.99
2023-06-18,Alabama,0.99
2023-06-25,Alabama,0.99
2023-07-02,Alabama,0.99
2023-07-09,Alabama,0.99
2023-07-16,Alabama,0.99
2023-07-23,Alabama,0.99
2023-07-30,Alabama,0.99
2023-08-06,Alabama,0.99
2023-08-13,Alabama,0.99
2023-08-20,Alabama,0.99
2023-08-27,Alabama,0.99
2023-09-03,Alabama,0.9855
2023-09-10,Alabama,0.9871
2023-09-17,Alabama,0.99
2023-09-24,Alabama,0.9897
2023-10-01,Alabama,0.9898
2023-10-08,Alabama,0.99
2023-10-15,Alabama,0.9894
2023-10-22,Alabama,0.9867
2023-10-29,Alabama,0.99
2023-11-05,Alabama,0.99
2023-11-12,Alabama,0.99
2023-11-19,Alabama,0.99
2023-11-26,Alabama,0.99
2023-12-03,Alabama,0.99
2023-12-10,Alabama,0.99
2023-12-17,Alabama,0.99
2023-12-24,Alabama,0.99
2023-12-31,Alabama,0.99
2020-01-12,Alaska,0.9656
2020-01-19,Alaska,0.9676
2020-01-26,Alaska,0.9674
2020-02-02,Alaska,0.9718
2020-02-09,Alaska,0.9692
2020-02-16,Alaska,0.9728
2020-02-23,Alaska,0.9685
2020-03-01,Alaska,0.9741
2020-03-08,Alaska,0.9736
2020-03-15,Alaska,0.9756
2020-03-22,Alaska,0.9826
2020-03-29,Alaska,0.9704
2020-04-05,Alaska,0.9797
2020-04-12,Alaska,0.9731
2020-04-19,Alaska,0.9768
2020-04-26,Alaska,0.9818
2020-05-03,Alaska,0.9777
2020-05-10,Alaska,0.9746
2020-05-17,Alaska,0.976
2020-05-24,Alaska,0.9804
2020-05-31,Alaska,0.9765
2020-06-07,Alaska,0.9759
2020-06-14,Alaska,0.9757
2020-06-21,Alaska,0.9739
2020-06-28,Alaska,0.9826
2020-07-05,Alaska,0.9733
2020-07-12,Alaska,0.9657
2020-07-19,Alaska,0.9726
2020-07-26,Alaska,0.9704
2020-08-02,Alaska,0.9701
2020-08-09,Alaska,0.9655
2020-08-16,Alaska,0.9678
2020-08-23,Alaska,0.97
2020-08-30,Alaska,0.9714
2020-09-06,Alaska,0.9618
2020-09-13,Alaska,0.9647
2020-09-20,Alaska,0.9646
2020-09-27,Alaska,0.9643
2020-10-04,Alaska,0.9705
2020-10-11,Alaska,0.9668
2020-10-18,Alaska,0.9621
2020-10-25,Alaska,0.9689
2020-11-01,Alaska,0.9742
2020-11-08,Alaska,0.9712
2020-11-15,Alaska,0.9638
2020-11-22,Alaska,0.9672
2020-11-29,Alaska,0.9728
2020-12-06,Alaska,0.9709
2020-12-13,Alaska,0.9746
2020-12-20,Alaska,0.9759
2020-12-27,Alaska,0.9711
2021-01-03,Alaska,0.9791
2021-01-10,Alaska,0.9698
2021-01-17,Alaska,0.9768
2021-01-24,Alaska,0.9794
2021-01-31,Alaska,0.9767
2021-02-07,Alaska,0.99
2021-02-14,Alaska,0.9818
2021-02-21,Alaska,0.9851
2021-02-28,Alaska,0.9871
2021-03-07,Alaska,0.99
2021-03-14,Alaska,0.9867
2021-03-21,Alaska,0.99
2021-03-28,Alaska,0.99
2021-04-04,Alaska,0.99
2021-04-11,Alaska,0.99
2021-04-18,Alaska,0.99
2021-04-25,Alaska,0.99
2021-05-02,Alaska,0.99
2021-05-09,Alaska,0.99
2021-05-16,Alaska,0.99
2021-05-23,Alaska,0.99
2021-05-30,Alaska,0.99
2021-06-06,Alaska,0.9872
2021-06-13,Alaska,0.99
2021-06-20,Alaska,0.9857
2021-06-27,Alaska,0.99
2021-07-04,Alaska,0.9888
2021-07-11,Alaska,0.9882
2021-07-18,Alaska,0.9858
2021-07-25,Alaska,0.9874
2021-08-01,Alaska,0.9817
2021-08-08,Alaska,0.9818
2021-08-15,Alaska,0.9864
2021-08-22,Alaska,0.9852
2021-08-29,Alaska,0.9823
2021-09-05,Alaska,0.9837
2021-09-12,Alaska,0.9822
2021-09-19,Alaska,0.9841
2021-09-26,Alaska,0.9838
2021-10-03,Alaska,0.9784
2021-10-10,Alaska,0.9795
2021-10-17,Alaska,0.9837
2021-10-24,Alaska,0.9836
2021-10-31,Alaska,0.982
2021-11-07,Alaska,0.9841
2021-11-14,Alaska,0.9879
2021-11-21,Alaska,0.9826
2021-11-28,Alaska,0.9863
2021-12-05,Alaska,0.988
2021-12-12,Alaska,0.9883
2021-12-19,Alaska,0.99
2021-12-26,Alaska,0.99
2022-01-02,Alaska,0.99
2022-01-09,Alaska,0.99
2022-01-16,Alaska,0.99
2022-01-23,Alaska,0.99
2022-01-30,Alaska,0.99
2022-02-06,Alaska,0.99
2022-02-13,Alaska,0.99
2022-02-20,Alaska,0.99
2022-02-27,Alaska,0.99
2022-03-06,Alaska,0.99
2022-03-13,Alaska,0.99
2022-03-20,Alaska,0.99
2022-03-27,Alaska,0.99
2022-04-03,Alaska,0.99
2022-04-10,Alaska,0.99
2022-04-17,Alaska,0.99
2022-04-24,Alaska,0.99
