week,state,tv_spend,search_spend
2020-01-12,Alabama,10347.17,5046.14
2020-01-19,Alabama,9646.04,4567.88
2020-01-26,Alabama,8569.24,3874.01
2020-02-02,Alabama,8972.49,2862.44
2020-02-09,Alabama,8834.21,3619.86
2020-02-16,Alabama,6851.29,3602.05
2020-02-23,Alabama,5102.44,3084.36
2020-03-01,Alabama,5102.44,3583.85
2020-03-08,Alabama,5102.44,3893.65
2020-03-15,Alabama,5102.44,2983.93
2020-03-22,Alabama,5207.75,3772.71
2020-03-29,Alabama,5102.44,1740.52
2020-04-05,Alabama,5102.44,1453.6
2020-04-12,Alabama,5102.44,1677.48
2020-04-19,Alabama,5102.44,2507.31
2020-04-26,Alabama,5102.44,1451.08
2020-05-03,Alabama,5102.44,2044.93
2020-05-10,Alabama,5102.44,3379.94
2020-05-17,Alabama,5102.44,3485.85
2020-05-24,Alabama,6902.82,2926.55
2020-05-31,Alabama,6757.66,3516.24
2020-06-07,Alabama,5102.44,3482.91
2020-06-14,Alabama,5102.44,4781.8
2020-06-21,Alabama,5102.44,4190.75
2020-06-28,Alabama,5102.44,4218.16
2020-07-05,Alabama,5102.44,3903.36
2020-07-12,Alabama,5865.89,1786.12
2020-07-19,Alabama,6826.9,1275.61
2020-07-26,Alabama,6753.34,1275.61
2020-08-02,Alabama,5542.78,1309.36
2020-08-09,Alabama,5102.44,1275.61
2020-08-16,Alabama,5102.44,1275.61
2020-08-23,Alabama,5102.44,1758.91
2020-08-30,Alabama,5102.44,2497.35
2020-09-06,Alabama,5943.45,2446.8
2020-09-13,Alabama,7553.37,3795.27
2020-09-20,Alabama,8920.41,6204.89
2020-09-27,Alabama,8517.74,5517.08
2020-10-04,Alabama,8976.81,5230.0
2020-10-11,Alabama,8747.76,6709.62
2020-10-18,Alabama,7920.56,4648.17
2020-10-25,Alabama,7065.9,4562.6
2020-11-01,Alabama,7196.21,3213.24
2020-11-08,Alabama,6565.73,2165.7
2020-11-15,Alabama,8087.99,3762.29
2020-11-22,Alabama,8687.02,2718.0
2020-11-29,Alabama,8980.68,1275.61
2020-12-06,Alabama,9301.69,1275.61
2020-12-13,Alabama,12555.86,1469.6
2020-12-20,Alabama,13507.02,1275.61
2020-12-27,Alabama,15875.7,1275.61
2021-01-03,Alabama,14033.5,1405.31
2021-01-10,Alabama,13246.58,1275.61
2021-01-17,Alabama,11760.46,1299.39
2021-01-24,Alabama,9861.55,1625.09
2021-01-31,Alabama,9744.92,1613.98
2021-02-07,Alabama,9542.25,1275.61
2021-02-14,Alabama,10425.09,2604.45
2021-02-21,Alabama,7513.3,1275.61
2021-02-28,Alabama,6116.64,1275.61
2021-03-07,Alabama,5331.99,1885.6
2021-03-14,Alabama,5102.44,2490.24
2021-03-21,Alabama,5316.69,1275.61
2021-03-28,Alabama,5102.44,1275.61
2021-04-04,Alabama,5373.75,1362.64
2021-04-11,Alabama,6178.48,1275.61
2021-04-18,Alabama,5102.44,1275.61
2021-04-25,Alabama,5102.44,1275.61
2021-05-02,Alabama,5102.44,1275.61
2021-05-09,Alabama,5102.44,1275.61
2021-05-16,Alabama,5102.44,1275.61
2021-05-23,Alabama,5102.44,2394.84
2021-05-30,Alabama,6226.53,2462.24
2021-06-06,Alabama,5102.44,2348.58
2021-06-13,Alabama,5102.44,1766.03
