week,state,avg_temp,avg_employment,tv_spend,search_spend,y
2020-01-12,New Jersey,40.2,0.9531,15201.77,6518.94,47344.14
2020-01-19,New Jersey,32.6,0.9528,14082.6,5496.16,47458.42
2020-01-26,New Jersey,35.8,0.9533,13779.59,3919.59,47367.3
2020-02-02,New Jersey,41.4,0.9552,14238.66,3133.07,47360.27
2020-02-09,New Jersey,37.1,0.9611,15145.33,2515.58,47372.65
2020-02-16,New Jersey,36.0,0.9606,11479.18,1665.66,47324.54
2020-02-23,New Jersey,39.4,0.9634,9986.56,1488.86,47426.22
2020-03-01,New Jersey,42.4,0.9657,8141.54,1488.86,47390.5
2020-03-08,New Jersey,49.6,0.9653,6615.84,1488.86,47388.05
2020-03-15,New Jersey,47.2,0.9636,6508.29,1847.94,47380.5
2020-03-22,New Jersey,44.3,0.9669,6047.39,1488.86,47456.62
2020-03-29,New Jersey,47.3,0.9693,6221.25,1619.07,47551.46
2020-04-05,New Jersey,51.3,0.9655,6964.07,2005.24,47458.41
2020-04-12,New Jersey,47.8,0.9697,6540.87,2266.51,47514.25
2020-04-19,New Jersey,46.5,0.9705,5955.45,3756.94,47430.44
2020-04-26,New Jersey,52.7,0.9681,5955.45,3276.08,47555.24
2020-05-03,New Jersey,52.1,0.9675,5955.45,3714.66,47515.91
2020-05-10,New Jersey,55.8,0.9704,5955.45,1919.77,47450.07
2020-05-17,New Jersey,58.1,0.9668,5955.45,1991.21,47383.34
2020-05-24,New Jersey,67.4,0.9717,6026.06,3149.58,47266.17
2020-05-31,New Jersey,68.9,0.9684,6346.82,1597.83,47260.17
2020-06-07,New Jersey,72.5,0.9709,5955.45,1556.29,47261.57
2020-06-14,New Jersey,67.3,0.9751,5955.45,1488.86,47220.94
2020-06-21,New Jersey,76.5,0.966,5955.45,1488.86,47159.36
2020-06-28,New Jersey,77.4,0.9706,5955.45,2235.01,47110.28
2020-07-05,New Jersey,78.7,0.9621,6739.42,1488.86,47150.14
2020-07-12,New Jersey,77.2,0.9678,8524.81,1788.58,47306.64
2020-07-19,New Jersey,81.9,0.9613,8899.47,1488.86,47180.1
2020-07-26,New Jersey,81.8,0.967,9693.57,1488.86,47201.02
2020-08-02,New Jersey,76.5,0.9582,7839.05,1488.86,47266.94
2020-08-09,New Jersey,77.8,0.9606,6336.57,1488.86,47165.58
2020-08-16,New Jersey,71.9,0.9586,5955.45,1488.86,47328.85
2020-08-23,New Jersey,77.3,0.9646,5955.45,1650.2,47304.31
2020-08-30,New Jersey,73.4,0.96,5955.45,1488.86,47268.71
2020-09-06,New Jersey,71.9,0.9608,6750.54,1488.86,47329.41
2020-09-13,New Jersey,64.0,0.9586,6613.9,1488.86,47220.42
2020-09-20,New Jersey,61.9,0.9597,7465.11,1488.86,47384.32
2020-09-27,New Jersey,65.3,0.9609,6738.01,1488.86,47226.34
2020-10-04,New Jersey,59.8,0.9573,7330.82,1488.86,47233.4
2020-10-11,New Jersey,57.8,0.9606,8495.71,1992.57,47310.43
2020-10-18,New Jersey,61.6,0.965,7748.59,2741.27,47406.31
2020-10-25,New Jersey,50.9,0.9585,7705.1,4652.72,47396.89
2020-11-01,New Jersey,50.3,0.9662,8495.51,4054.75,47383.62
2020-11-08,New Jersey,56.0,0.9676,7456.14,4590.27,47344.47
2020-11-15,New Jersey,43.9,0.9611,6983.95,4470.36,47497.96
2020-11-22,New Jersey,48.7,0.9596,8409.52,4046.13,47377.22
2020-11-29,New Jersey,44.1,0.9653,9426.42,4973.6,47455.73
2020-12-06,New Jersey,37.2,0.967,9819.78,4239.18,47645.1
2020-12-13,New Jersey,31.2,0.9747,10014.23,2241.0,47674.26
2020-12-20,New Jersey,37.3,0.9696,11229.79,1488.86,47531.45
2020-12-27,New Jersey,36.5,0.9676,13140.14,2690.42,47493.81
2021-01-03,New Jersey,34.9,0.9722,12435.74,2665.2,47510.54
2021-01-10,New Jersey,35.6,0.9793,12922.47,2138.91,47602.23
2021-01-17,New Jersey,34.1,0.9748,12924.02,1488.86,47486.25
2021-01-24,New Jersey,28.2,0.977,13174.05,4046.63,47540.11
2021-01-31,New Jersey,30.9,0.9802,13133.22,3630.05,47459.41
2021-02-07,New Jersey,25.7,0.9815,13519.59,3659.46,47510.6
2021-02-14,New Jersey,30.0,0.9833,14856.89,3642.84,47519.12
2021-02-21,New Jersey,36.3,0.9838,12343.42,3863.89,47464.15
2021-02-28,New Jersey,35.2,0.9863,10667.07,2771.2,47395.53
2021-03-07,New Jersey,44.1,0.99,8600.25,3788.69,47520.47
2021-03-14,New Jersey,38.3,0.9883,6284.13,3963.96,47490.99
2021-03-21,New Jersey,52.5,0.9896,6693.85,2701.3,47550.06
2021-03-28,New Jersey,46.5,0.9887,6732.65,1879.85,47538.92
2021-04-04,New Jersey,53.1,0.9872,6075.27,2439.73,47470.65
2021-04-11,New Jersey,50.6,0.99,7067.46,2617.52,47514.74
2021-04-18,New Jersey,51.6,0.99,5955.45,2946.76,47476.56
2021-04-25,New Jersey,58.7,0.99,5955.45,1565.58,47395.49
2021-05-02,New Jersey,58.7,0.9897,5955.45,2208.87,47414.24
2021-05-09,New Jersey,55.7,0.9898,5955.45,3407.38,47451.83
2021-05-16,New Jersey,69.4,0.99,5955.45,3259.2,47267.56
2021-05-23,New Jersey,67.7,0.99,5955.45,1488.86,47254.95
2021-05-30,New Jersey,64.6,0.99,6905.92,1488.86,47278.33
2021-06-06,New Jersey,74.6,0.9876,5955.45,1488.86,47262.72
2021-06-13,New Jersey,70.1,0.99,5955.45,3000.41,47324.76
2021-06-20,New Jersey,71.5,0.9866,5955.45,4253.18,47263.3
2021-06-27,New Jersey,78.7,0.99,5955.45,2357.72,47238.69
2021-07-04,New Jersey,76.7,0.9896,5955.45,2771.76,47207.54
2021-07-11,New Jersey,78.8,0.9836,5955.45,2444.9,47276.72
2021-07-18,New Jersey,75.2,0.9832,7054.77,1488.86,47300.78
2021-07-25,New Jersey,76.0,0.99,7550.77,1488.86,47252.51
2021-08-01,New Jersey,72.8,0.9817,6229.09,1712.11,47218.44
2021-08-08,New Jersey,79.9,0.9873,6315.69,1488.86,47204.16
2021-08-15,New Jersey,76.5,0.9839,5955.45,2231.12,47247.92
2021-08-22,New Jersey,77.9,0.9843,5955.45,1983.26,47320.32
2021-08-29,New Jersey,70.7,0.9866,5955.45,3280.88,47381.9
2021-09-05,New Jersey,70.2,0.9792,5955.45,2330.99,47261.51
2021-09-12,New Jersey,74.9,0.9827,5955.45,2277.58,47219.63
2021-09-19,New Jersey,68.6,0.9816,5955.45,1790.56,47285.57
2021-09-26,New Jersey,63.0,0.9792,5955.45,1488.86,47303.56
2021-10-03,New Jersey,66.4,0.9832,5955.45,1488.86,47329.57
2021-10-10,New Jersey,66.4,0.9819,6225.79,3143.01,47262.07
2021-10-17,New Jersey,58.8,0.9826,6578.19,2430.43,47402.73
2021-10-24,New Jersey,57.9,0.9799,6616.63,1531.12,47361.78
2021-10-31,New Jersey,46.2,0.9888,6665.74,1488.86,47529.8
2021-11-07,New Jersey,51.1,0.9884,5955.45,1488.86,47455.76
2021-11-14,New Jersey,43.8,0.9891,5955.45,1488.86,47507.28
2021-11-21,New Jersey,40.4,0.9858,5955.45,1488.86,47663.98
2021-11-28,New Jersey,40.6,0.9819,6239.37,2900.86,47619.54
2021-12-05,New Jersey,42.4,0.99,7381.07,3537.33,47469.92
2021-12-12,New Jersey,46.2,0.99,9455.54,2003.87,47497.14
2021-12-19,New Jersey,36.2,0.99,10893.95,2843.32,47632.5
2021-12-26,New Jersey,44.3,0.99,12671.86,2271.36,47429.69
2022-01-02,New Jersey,32.4,0.99,10725.28,1488.86,47586.14
2022-01-09,New Jersey,28.3,0.99,10459.71,1488.86,47583.55
2022-01-16,New Jersey,28.7,0.99,8609.54,1488.86,47488.88
2022-01-23,New Jersey,27.0,0.99,8667.22,1488.86,47518.0
2022-01-30,New Jersey,27.3,0.99,8717.91,2653.73,47402.8
2022-02-06,New Jersey,37.7,0.99,10761.26,1488.86,47519.56
2022-02-13,New Jersey,34.4,0.99,11438.64,2507.9,47447.59
2022-02-20,New Jersey,39.2,0.99,10155.53,1488.86,47483.93
2022-02-27,New Jersey,35.7,0.99,8468.43,1685.6,47521.22
