week,state,avg_temp
2020-01-12,Alabama,59.5
2020-01-19,Alabama,40.5
2020-01-26,Alabama,47.9
2020-02-02,Alabama,53.7
2020-02-09,Alabama,53.9
2020-02-16,Alabama,50.0
2020-02-23,Alabama,48.1
2020-03-01,Alabama,54.4
2020-03-08,Alabama,62.4
2020-03-15,Alabama,67.7
2020-03-22,Alabama,68.0
2020-03-29,Alabama,62.3
2020-04-05,Alabama,66.7
2020-04-12,Alabama,60.1
2020-04-19,Alabama,63.2
2020-04-26,Alabama,62.7
2020-05-03,Alabama,64.6
2020-05-10,Alabama,68.7
2020-05-17,Alabama,72.3
2020-05-24,Alabama,75.2
2020-05-31,Alabama,77.5
2020-06-07,Alabama,77.1
2020-06-14,Alabama,76.1
2020-06-21,Alabama,76.1
2020-06-28,Alabama,80.1
2020-07-05,Alabama,80.0
2020-07-12,Alabama,82.3
2020-07-19,Alabama,82.2
2020-07-26,Alabama,80.3
2020-08-02,Alabama,80.4
2020-08-09,Alabama,81.6
2020-08-16,Alabama,79.0
2020-08-23,Alabama,79.0
2020-08-30,Alabama,81.3
2020-09-06,Alabama,79.2
2020-09-13,Alabama,75.6
2020-09-20,Alabama,68.6
2020-09-27,Alabama,66.3
2020-10-04,Alabama,70.2
2020-10-11,Alabama,67.0
2020-10-18,Alabama,70.1
2020-10-25,Alabama,65.7
2020-11-01,Alabama,58.1
2020-11-08,Alabama,67.6
2020-11-15,Alabama,55.8
2020-11-22,Alabama,58.7
2020-11-29,Alabama,45.0
2020-12-06,Alabama,49.2
2020-12-13,Alabama,45.1
2020-12-20,Alabama,44.6
2020-12-27,Alabama,53.7
2021-01-03,Alabama,43.8
2021-01-10,Alabama,40.0
2021-01-17,Alabama,47.2
2021-01-24,Alabama,52.3
2021-01-31,Alabama,44.8
2021-02-07,Alabama,50.3
2021-02-14,Alabama,36.9
2021-02-21,Alabama,57.0
2021-02-28,Alabama,54.9
2021-03-07,Alabama,57.6
2021-03-14,Alabama,61.4
2021-03-21,Alabama,63.7
2021-03-28,Alabama,55.6
2021-04-04,Alabama,64.2
2021-04-11,Alabama,64.1
2021-04-18,Alabama,58.7
2021-04-25,Alabama,67.8
2021-05-02,Alabama,67.4
2021-05-09,Alabama,65.9
2021-05-16,Alabama,72.6
2021-05-23,Alabama,76.3
2021-05-30,Alabama,72.8
2021-06-06,Alabama,75.7
2021-06-13,Alabama,77.8
2021-06-20,Alabama,76.5
2021-06-27,Alabama,78.4
2021-07-04,Alabama,77.3
2021-07-11,Alabama,77.8
2021-07-18,Alabama,77.4
2021-07-25,Alabama,82.0
2021-08-01,Alabama,78.5
2021-08-08,Alabama,80.6
2021-08-15,Alabama,79.2
2021-08-22,Alabama,82.0
2021-08-29,Alabama,76.8
2021-09-05,Alabama,75.4
2021-09-12,Alabama,74.9
2021-09-19,Alabama,70.1
2021-09-26,Alabama,73.4
2021-10-03,Alabama,71.6
2021-10-10,Alabama,72.2
2021-10-17,Alabama,63.7
2021-10-24,Alabama,61.4
2021-10-31,Alabama,54.7
2021-11-07,Alabama,56.5
2021-11-14,Alabama,53.9
2021-11-21,Alabama,49.9
2021-11-28,Alabama,53.9
2021-12-05,Alabama,57.4
2021-12-12,Alabama,56.3
2021-12-19,Alabama,49.3
2021-12-26,Alabama,67.7
2022-01-02,Alabama,44.1
2022-01-09,Alabama,46.6
2022-01-16,Alabama,39.8
2022-01-23,Alabama,40.3
2022-01-30,Alabama,47.5
2022-02-06,Alabama,47.1
2022-02-13,Alabama,49.0
2022-02-20,Alabama,57.5
2022-02-27,Alabama,56.4
2022-03-06,Alabama,55.5
2022-03-13,Alabama,54.0
2022-03-20,Alabama,58.0
2022-03-27,Alabama,59.8
2022-04-03,Alabama,59.0
2022-04-10,Alabama,64.7
2022-04-17,Alabama,64.2
2022-04-24,Alabama,68.5
2022-05-01,Alabama,73.3
2022-05-08,Alabama,72.0
2022-05-15,Alabama,77.3
2022-05-22,Alabama,71.6
2022-05-29,Alabama,76.7
2022-06-05,Alabama,78.2
2022-06-12,Alabama,82.5
2022-06-19,Alabama,83.2
2022-06-26,Alabama,78.3
2022-07-03,Alabama,81.8
2022-07-10,Alabama,79.5
2022-07-17,Alabama,80.9
2022-07-24,Alabama,81.0
2022-07-31,Alabama,81.2
2022-08-07,Alabama,79.8
2022-08-14,Alabama,79.0
2022-08-21,Alabama,75.5
2022-08-28,Alabama,79.4
2022-09-04,Alabama,76.0
2022-09-11,Alabama,73.9
2022-09-18,Alabama,77.6
2022-09-25,Alabama,67.5
2022-10-02,Alabama,66.9
2022-10-09,Alabama,64.6
2022-10-16,Alabama,56.4
2022-10-23,Alabama,62.2
2022-10-30,Alabama,64.3
2022-11-06,Alabama,66.3
2022-11-13,Alabama,43.5
2022-11-20,Alabama,52.9
2022-11-27,Alabama,55.9
2022-12-04,Alabama,64.4
2022-12-11,Alabama,54.0
2022-12-18,Alabama,36.9
2022-12-25,Alabama,45.2
2023-01-01,Alabama,58.3
2023-01-08,Alabama,50.1
2023-01-15,Alabama,53.5
2023-01-22,Alabama,45.2
2023-01-29,Alabama,49.5
2023-02-05,Alabama,55.2
2023-02-12,Alabama,53.2
2023-02-19,Alabama,64.5
2023-02-26,Alabama,67.1
2023-03-05,Alabama,62.3
2023-03-12,Alabama,50.7
2023-03-19,Alabama,55.8
2023-03-26,Alabama,64.4
2023-04-02,Alabama,66.4
2023-04-09,Alabama,61.6
2023-04-16,Alabama,64.7
2023-04-23,Alabama,63.7
2023-04-30,Alabama,63.4
2023-05-07,Alabama,74.5
2023-05-14,Alabama,74.4
2023-05-21,Alabama,70.7
2023-05-28,Alabama,74.2
2023-06-04,Alabama,78.0
2023-06-11,Alabama,74.7
2023-06-18,Alabama,75.7
2023-06-25,Alabama,81.5
2023-07-02,Alabama,79.9
2023-07-09,Alabama,79.1
2023-07-16,Alabama,82.0
2023-07-23,Alabama,82.1
2023-07-30,Alabama,81.6
2023-08-06,Alabama,80.5
2023-08-13,Alabama,81.6
2023-08-20,Alabama,85.7
2023-08-27,Alabama,79.5
2023-09-03,Alabama,79.3
2023-09-10,Alabama,77.4
2023-09-17,Alabama,73.9
2023-09-24,Alabama,75.8
2023-10-01,Alabama,73.2
2023-10-08,Alabama,64.4
2023-10-15,Alabama,60.5
